MMM,industrials
ABT,health care
ABBV,health care
ABMD,health care
ACN,information technology
ATVI,communication services
ADBE,information technology
AMD,information technology
AAP,consumer discretionary
AES,utilities
AFL,financials
A,health care
APD,materials
AKAM,information technology
ALK,industrials
ALB,materials
ARE,real estate
ALXN,health care
ALGN,health care
ALLE,industrials
AGN,health care
ADS,information technology
LNT,utilities
ALL,financials
GOOGL,communication services
GOOG,communication services
MO,consumer staples
AMZN,consumer discretionary
AMCR,materials
AEE,utilities
AAL,industrials
AEP,utilities
AXP,financials
AIG,financials
AMT,real estate
AWK,utilities
AMP,financials
ABC,health care
AME,industrials
AMGN,health care
APH,information technology
ADI,information technology
ANSS,information technology
ANTM,health care
AON,financials
AOS,industrials
APA,energy
AIV,real estate
AAPL,information technology
AMAT,information technology
APTV,consumer discretionary
ADM,consumer staples
ARNC,industrials
ANET,information technology
AJG,financials
AIZ,financials
ATO,utilities
T,communication services
ADSK,information technology
ADP,information technology
AZO,consumer discretionary
AVB,real estate
AVY,materials
BKR,energy
BLL,materials
BAC,financials
BK,financials
BAX,health care
BDX,health care
BRK.B,financials
BBY,consumer discretionary
BIIB,health care
BLK,financials
BA,industrials
BKNG,consumer discretionary
BWA,consumer discretionary
BXP,real estate
BSX,health care
BMY,health care
AVGO,information technology
BR,information technology
BF.B,consumer staples
CHRW,industrials
COG,energy
CDNS,information technology
CPB,consumer staples
COF,financials
CPRI,consumer discretionary
CAH,health care
KMX,consumer discretionary
CCL,consumer discretionary
CAT,industrials
CBOE,financials
CBRE,real estate
CDW,information technology
CE,materials
CNC,health care
CNP,utilities
CTL,communication services
CERN,health care
CF,materials
SCHW,financials
CHTR,communication services
CVX,energy
CMG,consumer discretionary
CB,financials
CHD,consumer staples
CI,health care
XEC,energy
CINF,financials
CTAS,industrials
CSCO,information technology
C,financials
CFG,financials
CTXS,information technology
CLX,consumer staples
CME,financials
CMS,utilities
KO,consumer staples
CTSH,information technology
CL,consumer staples
CMCSA,communication services
CMA,financials
CAG,consumer staples
CXO,energy
COP,energy
ED,utilities
STZ,consumer staples
COO,health care
CPRT,industrials
GLW,information technology
CTVA,materials
COST,consumer staples
COTY,consumer staples
CCI,real estate
CSX,industrials
CMI,industrials
CVS,health care
DHI,consumer discretionary
DHR,health care
DRI,consumer discretionary
DVA,health care
DE,industrials
DAL,industrials
XRAY,health care
DVN,energy
FANG,energy
DLR,real estate
DFS,financials
DISCA,communication services
DISCK,communication services
DISH,communication services
DG,consumer discretionary
DLTR,consumer discretionary
D,utilities
DOV,industrials
DOW,materials
DTE,utilities
DUK,utilities
DRE,real estate
DD,materials
DXC,information technology
ETFC,financials
EMN,materials
ETN,industrials
EBAY,consumer discretionary
ECL,materials
EIX,utilities
EW,health care
EA,communication services
EMR,industrials
ETR,utilities
EOG,energy
EFX,industrials
EQIX,real estate
EQR,real estate
ESS,real estate
EL,consumer staples
EVRG,utilities
ES,utilities
RE,financials
EXC,utilities
EXPE,consumer discretionary
EXPD,industrials
EXR,real estate
XOM,energy
FFIV,information technology
FB,communication services
FAST,industrials
FRT,real estate
FDX,industrials
FIS,information technology
FITB,financials
FE,utilities
FRC,financials
FISV,information technology
FLT,information technology
FLIR,information technology
FLS,industrials
FMC,materials
F,consumer discretionary
FTNT,information technology
FTV,industrials
FBHS,industrials
FOXA,communication services
FOX,communication services
BEN,financials
FCX,materials
GPS,consumer discretionary
GRMN,consumer discretionary
IT,information technology
GD,industrials
GE,industrials
GIS,consumer staples
GM,consumer discretionary
GPC,consumer discretionary
GILD,health care
GL,financials
GPN,information technology
GS,financials
GWW,industrials
HRB,consumer discretionary
HAL,energy
HBI,consumer discretionary
HOG,consumer discretionary
HIG,financials
HAS,consumer discretionary
HCA,health care
PEAK,real estate
HP,energy
HSIC,health care
HSY,consumer staples
HES,energy
HPE,information technology
HLT,consumer discretionary
HFC,energy
HOLX,health care
HD,consumer discretionary
HON,industrials
HRL,consumer staples
HST,real estate
HPQ,information technology
HUM,health care
HBAN,financials
HII,industrials
IEX,industrials
IDXX,health care
INFO,industrials
ITW,industrials
ILMN,health care
IR,industrials
INTC,information technology
ICE,financials
IBM,information technology
INCY,health care
IP,materials
IPG,communication services
IFF,materials
INTU,information technology
ISRG,health care
IVZ,financials
IPGP,information technology
IQV,health care
IRM,real estate
JKHY,information technology
J,industrials
JBHT,industrials
SJM,consumer staples
JNJ,health care
JCI,industrials
JPM,financials
JNPR,information technology
KSU,industrials
K,consumer staples
KEY,financials
KEYS,information technology
KMB,consumer staples
KIM,real estate
KMI,energy
KLAC,information technology
KSS,consumer discretionary
KHC,consumer staples
KR,consumer staples
LB,consumer discretionary
LHX,industrials
LH,health care
LRCX,information technology
LW,consumer staples
LVS,consumer discretionary
LEG,consumer discretionary
LDOS,information technology
LEN,consumer discretionary
LLY,health care
LNC,financials
LIN,materials
LYV,communications services
LKQ,consumer discretionary
LMT,industrials
L,financials
LOW,consumer discretionary
LYB,materials
MTB,financials
M,consumer discretionary
MRO,energy
MPC,energy
MKTX,financials
MAR,consumer discretionary
MMC,financials
MLM,materials
MAS,industrials
MA,information technology
MKC,consumer staples
MXIM,information technology
MCD,consumer discretionary
MCK,health care
MDT,health care
MRK,health care
MET,financials
MTD,health care
MGM,consumer discretionary
MCHP,information technology
MU,information technology
MSFT,information technology
MAA,real estate
MHK,consumer discretionary
TAP,consumer staples
MDLZ,consumer staples
MNST,consumer staples
MCO,financials
MS,financials
MOS,materials
MSI,information technology
MSCI,financials
MYL,health care
NDAQ,financials
NOV,energy
NTAP,information technology
NFLX,communication services
NWL,consumer discretionary
NEM,materials
NWSA,communication services
NWS,communication services
NEE,utilities
NLSN,industrials
NKE,consumer discretionary
NI,utilities
NBL,energy
JWN,consumer discretionary
NSC,industrials
NTRS,financials
NOC,industrials
NLOK,information technology
NCLH,consumer discretionary
NRG,utilities
NUE,materials
NVDA,information technology
NVR,consumer discretionary
ORLY,consumer discretionary
OXY,energy
ODFL,industrials
OMC,communication services
OKE,energy
ORCL,information technology
PCAR,industrials
PKG,materials
PH,industrials
PAYX,information technology
PYPL,information technology
PNR,industrials
PBCT,financials
PEP,consumer staples
PKI,health care
PRGO,health care
PFE,health care
PM,consumer staples
PSX,energy
PNW,utilities
PXD,energy
PNC,financials
PPG,materials
PPL,utilities
PFG,financials
PG,consumer staples
PGR,financials
PLD,real estate
PRU,financials
PEG,utilities
